word,transcription,definition
𐀐𐀕𐀄,ke-me-u,anthroponym cf. Κέλμις Κέλμος Chadwick John and Michael Ventris 1973 Documents in Myceanaean Greek
𐀐𐀛𐀤𐀳𐀸,ke-ni-qe-te-we,hand washing basins
𐀐𐀢,ke-pu,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀐𐀨,ke-ra,"1. (KN Ra) 'horn'? cf. κέρας 2. (PY Eb PY Ep) 'gift of honour'? cf. γέρασ ὄ τι δῆμος ἔδωκεν  nominative plural of ke-ra1? Appears as """"ke-ra-a  *227VAS"""" on KN K 872. Appears as """"]zo-wa  [[e-pi-zo-ta]]  ke-ra  [[de-de-me-na]]"""" on KN Ra 984. GRA: PY Eb? PY Ep? GUP: KN Ra Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek"
𐀐𐀨,ke-ra,gift of honour
𐀐𐀨𐀁𐀸,ke-ra-e-we,"Melena 2000-2001: """"Mycenean name of the items recorded in the Qa class by means of the logogram *189 (which has as endogram the acrophonic KE). [...] probably a plural nominative we are dealing with a noun in -eus built on a neuter in -as and the choice is between /keras/ or /geras/ both attested at Pylos. Qa religious associations would point to /geras/ as the best candidate and its presence among leathern artifacts is perfectly at home since word-formation would prompt the interpretation of these Mycenaean /gerahēwes/ as 'honouring' implements of some form."""" cf. ke-ra Killen 2000-2001: """"may perhaps be merit in Melena's (rejected) alternative explanation of [ke-ra-e-we] as a derivative in -εύς not of γέρας 'portion of honour' but of κέρας 'horn'."""" perhaps an agent noun (cf. ka-ke-u ke-ra-me-u etc.): 'worker in horn (and ivory?)' *189: PY Un Killen John T. 2000-2001 Kadmos 35-36 """"A Note on Pylos Tablet Un 1482"""" Melena José 2000-2001 Kadmos 35-36 """"63 Joins and Quasi-joins of Fragments in the Linear B Tablets from Pylos"""""
𐀐𐀨𐀊𐀠,ke-ra-ja-pi,'made of horn' cf. κεραός 'horned' See o-po-qo. [[CAPS]]: KN Sf? CUR: KN Sd Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀐𐀨𐀕𐀄,ke-ra-me-u,occupational term: potter cf. κεραμεύς (Iliad) Palaeolexicon: anthroponym  nominative dual of ke-ra-me-u Palaeolexicon: ceramic artisans  genitive singular of ke-ra-me-u ke-ra-me: potter Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀐𐀨𐀕𐀊,ke-ra-me-ja,anthroponym feminine of ke-ra-me-u Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀐𐀨𐀕𐀸,ke-ra-me-we,workers of ceramics ceramic artisans
𐀐𐀨𐀜,ke-ra-no,"""""Name of one of a yoke of oxen"""" + connective enclitic qe Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek"
𐀐𐀩,ke-re,anthroponym cf. Κρής Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀐𐀩𐀄,ke-re-u,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀐𐀩𐀙,ke-re-na,"meaning obscure Appears as """"a-mi-ni-so ke-re-na  re-ne  ["""" on KN M 719. Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek"
𐀐𐀩𐀜,ke-re-no,anthroponym cf. Γερήνιος Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀐𐀩𐀯𐀍,ke-re-si-jo,cretan
𐀐𐀩𐀳𐀄,ke-re-te-u,anthroponym cf. Κρηθεύς Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀐𐀩𐀴𐀺,ke-re-ti-wo,toponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀐𐀩𐀼,ke-re-za,name of place or area at Pylos Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀐𐀩𐁀,ke-re-a2,limbs legs
𐀐𐀪𐀖𐀊,ke-ri-mi-ja,"""""perhaps an adjective describing women"""" Appears as """"ke-ri-mi-ja tu-na-no"""" on KN Lc 535+. Appears as """"me-ta-pa  ke-ri-mi-ja  do-qe-ja  ki-ri-te-wi-ja"""" on PY An 607. Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek"
𐀐𐀫𐀯𐀊,ke-ro-si-ja,council of the elders
𐀐𐀫𐀯𐀊,ke-ro-si-ja,"Duhoux 2008: 'Elders' 'council of Elders' Shelmerdine 2008: 'council of elders'  """"a group of men under a qa-si-re-u probably 'council of elders'"""" cf. γερουσία Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek Duhoux Yves 2008 A Companion to Linear B: Mycenaean Greek Texts and their World vol. I (ed. Yves Duhoux and Anna Morpurgo Davies) """"Mycenaean Anthology"""" Shelmerdine Cynthia W. 2008 A Companion to Linear B: Mycenaean Greek Texts and their World vol. I (ed. Yves Duhoux and Anna Morpurgo Davies) """"Mycenaean Society"""""
𐀐𐀫𐀲,ke-ro-ta,adjective describing cloth 'old'? cf. γέρον σάκος (Odyssey XXII 184) *161: KN Ld Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀐𐀭𐀈𐀫,ke-sa-do-ro,anthroponym cf. [[ke-sa-da-ra]]  genitive of ke-sa-do-ro Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀐𐀭𐀕𐀜,ke-sa-me-no,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀐𐀮𐀛𐀹𐀍,ke-se-ni-wi-jo,"'for guests' cf. ξείνια  neuter plural of ke-se-ni-wi-jo  alt. spelling of ke-se-nu-wi-ja Appears as """"ke-se-nu-wi-ja  re-u-ko-nu-ka"""" on KN Ld 573. OLE: PY Fr TELA: KN Ld *158: KN Ld Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek"
𐀐𐀮𐀝𐀹𐀊,ke-se-nu-wi-ja,foreign
𐀐𐀮𐀝𐀺,ke-se-nu-wo,foreigner guest
𐀐𐀲,ke-ta,anthroponym PY Jn 706 AES: a-no-me-de a3-so-ni-jo ka-pa-ra2 ku-ri-sa-to ma-ra-si-jo mu-to-na pe-ri-no qi-si-ja-ko Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀐𐀴𐀆𐀤,ke-ti-de-qe,"Risch 1987: anthroponym dative of an id-stem name  anthroponym + connective enclitic -qe Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek Risch Ernst 1987 Tractata Mycenaea. Proceedings of the Eighth International Colloquium on Mycenaean Studies (Ohrid 1985) """"Die mykenischen Personennamen auf -e"""""
𐀐𐀴𐀫,ke-ti-ro,anthroponym PY Jn: a-me-noanthroponym hapax a3-ta-roanthroponym hapax [[pa-pu-so]]anthroponym hapax [[re-u-ko-ro-o-pu2-ru]]anthroponym hapax wi-du-wo-i-joanthroponym KN Da: e-ra? PY Jn: [[ru-ko-a2-ke-re-u-te]]? KN Da: OVIS KN U: *180 PY Jn: AES Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀐𐀵,ke-to,"anthroponym Appears as """"ku-ru-me-ni-jo  ke-to"""" on KN Da 1173 which is a pa-i-to tablet about du-pu2-ra-zo. KN Da: *56-ko-we KN Da PY Cn: OVIS Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek"
𐀐𐀵𐀫,ke-to-ro,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀐𐁛𐁐,ke-*83-*18,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀑𐀁𐀄,ki-e-u,anthroponym  variant spelling of ki-e-u  genitive of ki-e-u Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀑𐀄𐀫,ki-u-ro,anthroponym KN B: a-ki-wa-ta a-pi-me-de ki-ri-ja-si OVIS: KN Dl VIR: KN B su-ki-ri-ta: KN Dl Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀑𐀄𐀫𐀂,ki-u-ro-i,"""""probably some part of or equipment for a chariot"""" cf. κίουρος 'baskets' dative plural Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek"
𐀑𐀅𐀫,ki-da-ro,obscure perhaps anthroponym cf. Κιδαρία epithet of Demeter KN E: GRA Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀑𐀉𐀫,ki-du-ro,
𐀑𐀐𐀫,ki-ke-ro,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀑𐀔𐀲,ki-ma-ta,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀑𐀘𐀒,ki-mu-ko,anthroponym KN Dv: OVIS KN Dv: pa-i-to Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀑𐀘𐀓,ki-mu-ku,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀑𐀛𐀇𐀊,ki-ni-di-ja,women from knidos
𐀑𐀝𐀣,ki-nu-qa,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀑𐀨𐀇𐀊,ki-ra-di-ja,Ruijgh 1967: toponym in -ία Ruijgh C.J. 1967 Études sur la grammaire et le vocabulaire du grec mycénien
𐀑𐀨𐁖𐀰,ki-ra-*56-so,anthroponym? Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀑𐀪𐀊𐀂𐀍,ki-ri-ja-i-jo,anthroponym cf. Κίλλαιος Κιρραῖος  variant spelling of ki-ri-ja-i-jo BIG: KN Sc EQU: KN Sc TUN: KN Sc Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀑𐀪𐀊𐀯,ki-ri-ja-si,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀑𐀪𐀍𐀳,ki-ri-jo-te,sheep adjective Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀑𐀪𐀚𐀵,ki-ri-ne-to,anthroponym KN Dv: OVIS KN Dv: tu-ni-ja Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀑𐀪𐀲,ki-ri-ta,"Duhoux 2011: 1. substantive 'barley' cf. κριθή 2. adjective textile qualifier 'anointed' cf. χριστός  1. (KN G) 'barley' cf. κριθή 2. (KN Ld) 'anointed painted (with red spots?)' cf. χριστός KN G: LUNA KN Ld: TELA Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek Duhoux Yves 2011 A Companion to Linear B: Mycenaean Greek Texts and their World vol. II """"Interpreting the Linear B Records: Some Guidelines"""""
𐀑𐀪𐀲𐀆,ki-ri-ta-de,toponym allative  dative-locative plural? of ki-ri-ta-de LANA: KN Od Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀑𐀪𐀳𐀹𐀊,ki-ri-te-wi-ja,"""""a class of women possibly with a religious function"""" cf. da-*83-ja-i e-to-wo-ko-i ku-wa-no-wo-ko-i  dative plural of ki-ri-te-wi-ja cf. a-ni-ja-pi e-re-pa-te-jo-pi e-ru-ta-ra-pi ki-to-pi  instrumental plural of ki-ri-te-wi-ja KN E: LUNA GRA KN Fp: OLE PY An: MUL PY Eb PY Ep: GRA PY Un: NI? KN Fp: da-*83-ja? PY An: me-ta-pa Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek"
𐀑𐀪𐀴𐀍𐀍,ki-ri-ti-jo-jo,month name? genitive singular Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀑𐀯𐀹𐀍,ki-si-wi-jo,anthroponym cf. [[ki-si-wi-ja]]  context obscure; anthroponym? Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀑𐀲𐀚𐀵,ki-ta-ne-to,anthroponym KN Am KN Da: su-ri-mo KN Da: OVIS Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀑𐀲𐀜,ki-ta-no,"Melena 1983: """"probably a member of the Pistacia family"""" Melena José L. 1983 Minos vol. 18 """"Olive Oil and Other Sorts of Oil in the Mycenaean Tablets"""""
𐀑𐀲𐀜,ki-ta-no,plant (pistacia terebintus)
𐀑𐀴𐀕𐀙,ki-ti-me-na,"land not distributed by the damos (da-mo) Palaeolexicon: field Wiktionary: field ἐυκτίμενος well-tilled A.T. Murray's translation of the Iliad by Homer translated this as """"well-built"""" in the context of πτολίεθρον 'citadel'. Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek kar WNXIV.164 participle candidates"
𐀑𐀴𐀕𐀙,ki-ti-me-na,field
𐀑𐀵,ki-to,"Bernabé & Luján 2008: tunic  'tunic' cf. χιτών or 'fine linen' cf. (-*o -*o-ne) a-ka-wo a-re-ku-tu-ru-wo a-ri-ja-wo a-ri-wo [[e-ka-ra2-wo]] po-se-da-o [[te-ra-wo]]  nominative plural? of ki-to  accusative singular or plural of ki-to? (cf. instrumental plural -pi) a-ni-ja-pi e-re-pa-te-jo-pi e-ru-ta-ra-pi ki-ri-te-wi-ja-pi ne-qa-sa-pi  instrumental plural of ki-to Appears as """"re-po-to  qe-te-jo ki-to"""" on KN L 693. Appears as """"a-ro-zo 'ki-to'"""" on KN Lc 536+. AES: KN L TELA: KN Lc KN Ld *161: KN Ld Bernabé Alberto and Eugenio Luján 2008 A Companion to Linear B: Mycenaean Greek Texts and their World (ed. Yves Duhoux and Anna Morpurgo Davies) “Mycenaean Technology” Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek"
𐀑𐀵,ki-to,tunic
𐀑𐀺,ki-wo,column
𐀑𐀿,ki-zo,anthroponym? Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀑𐁐𐀂𐀰,ki-*18-i-so,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀒𐀀𐀲,ko-a-ta,anthroponym  probably variant spelling of ko-a-ta Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀒𐀃𐀐𐀚,ko-o-ke-ne,anthroponym cf. Κοιογένης  dative of ko-o-ke-ne Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀒𐀄𐀨,ko-u-ra,"textile description """"no satisfactory explanation""""; nominative plural neuter?  nom. pl. fem. or neut. """"description of textiles or more likely their makers: 'for ko-u-ra'"""" Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek kar WNXIV.155 ko adjunct to TELA"
𐀒𐀏𐀫,ko-ka-ro,anthroponym cf. Κὠκαλος Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀒𐀑𐀆𐀍,ko-ki-de-jo,
𐀒𐀑𐀩𐀊,ko-ki-re-ja,decorative object / snail
𐀒𐀓,ko-ku,anthroponym KN Dh: ti-ri-to Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀒𐀓𐀫,ko-ku-ro,anthroponym cf. Γογγύλος KN B: a-so-qi-joanthroponym pi-ri-u-woanthroponym to-na-taanthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀒𐀔𐀸,ko-ma-we,"anthroponym cf. Κομήεις cf. (-to) e-re-pa-to e-ri-no-wo-to Duhoux 2008: anthroponym meaning """"long-haired"""" cf. κόμη 'hair'  genitive of ko-ma-we cf. (-te) e-re-pa-te Chadwick & Ventirs 1973: dative of ko-ma-we cf. (-ta) e-re-pa-ta  not a variant; anthroponym dative? cf. (-te-ja) e-re-pa-te-ja  not a variant; theonym? Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek Duhoux Yves 2008 A Companion to Linear B: Mycenaean Greek Texts and their World (ed. Yves Duhoux and Anna Morpurgo Davies) “Mycenaean Anthology”"
𐀒𐀛𐀅𐀍,ko-ni-da-jo,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀒𐀜,ko-no,1. condiment like sweet rush or ginger-grass; not cups cf. χόννοι 2. toponym with o-ro-jo cf. ko-ni-ja Maddoli 1968: Cretan cups cf. χόννοι PY Eq (o-da-a2  {parallels}  o-ro-jo  to-so-de pe-mo GRA {quantity}): e-ri-no-wo-to ko-tu-wo Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek Maddoli Gianfranco 1968 TBD
𐀒𐀜,ko-no,kind bush
𐀒𐀜𐀛𐀠,ko-no-ni-pi,"""""part of the decoration of a jug and a chair"""" 'cross-bars rods'? cf. κανονίς """"ko- for κα is suspect"""" *217VAS: KN K Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek"
𐀒𐀜𐀯𐀍,ko-no-si-jo,knossian (ethnonym)
𐀒𐀜𐀰,ko-no-so,knossos
𐀒𐀟𐀩𐀄,ko-pe-re-u,anthroponym cf. Κοπρεύς Ramón 2011: anthroponym cf. Κοπρεύς from κόπρος 'excrement'  genitive of ko-pe-re-u  dative of ko-pe-re-u PY Es (ko-pe-re-wo): a-ne-o a-re-ku-tu-ru-wo a3-ki-wa-ro ka-ra-i ku-da-ma-ro o-po-ro-me-no pi-ro-ta-wo se-no wo-ro-ti-ja-o Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek Ramón J.L. García 2011 A Companion to Linear B: Mycenaean Greek Texts and their World vol. II (ed. Yves Duhoux and Anna Morpurgo Davies) “Mycenaean Onomastics”
𐀒𐀠,ko-pi,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀒𐀠𐀙,ko-pi-na,type of basket
𐀒𐀢𐀨,ko-pu-ra,anthroponym? Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀒𐀩𐀳,ko-re-te,title mayor?  nominative plural dative singular of ko-re-te  dative singular of ko-re-te  adjective describing land belonging to a ko-re-te Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀒𐀩𐀳,ko-re-te,governor
𐀒𐀩𐀳,ko-re-te,"Shelmerdine 2008: something like a 'mayor'  titular nominative singular masculine cf. (*-te *-te-re) a-de-te-re a-ke-te-re a3-te-re ma-te-re pi-ri-je-te-re ra-pte-re tu-ka-te-re Chadwick & Ventirs 1973: nominative plural or dative singular  dative singular  adjective Shelmerdine 2008: something like a 'vice-mayor'  official subordinate to ko-re-te nominative singular po-ro-ko-re-te-re + connective enclitic qe  nominative plural ko-re-te in KN V: a-ke-re-mo-nogen. occupation po-ro-ko-re-te ko-re-te in PY Jn PY On: po-ro-ko-re-te ko-re-te in PY Nn*: a-mu-ta-woanthroponym a-ro-je-uanthroponym e-po-me-ne-uanthroponym e-re-e-u ka-ke-uoccupation po-me-neoccupation qo-u-ko-rooccupation po-ro-ko-re-te in KN V: a-ke-re-mo-no ko-re-te po-ro-ko-re-te in PY Jn PY On: ko-re-te AES: PY Jn AUR: PY Jo SA: PY Nn *154: PY On [[*258]]: KN V a-ke-re-wa: PY Jn PY Jo a-pa-ta-wa: KN C a-pu2-we a-pu2-ja: PY Jn PY Jo a-si-ja-ti-ja: PY On [[e-ra-te-re-wa-o]] [[e-ra-te-re-wa-o|e-ra-te-re-wa-pi]]: PY Jn PY Jo PY On? [[e-sa-re-wi-ja]]: PY On? [[i-te-re-wa]]: PY Aq ka-ra-do-ro: PY Jn PY Jo ku-ta-i-to: KN C me-ta-pa: PY Jn o-du-ru-wi-jo: KN C pa-ki-ja-pi pa-ki-ja-ni[: PY Jn PY Jo? pe-to-no: PY Jn pi-*82: PY Jn qa-ra: KN V ra-u-ra-ti-ja: PY On ri-jo-no: KN C ro-u-so: PY Jo? PY Jn? sa-ma-ra: PY On? si-ra-ro: KN C ti-mi-to-a-ke-e ti-mi-ti-ja te-mi-ti-ja: PY Aq PY Jn PY Jo PY On [[ti-nwa-so|ti-nwa-si-jo]]: PY Jo wa-to: KN C za-ma-e-wi-ja: PY Jn a-ke-re-wa: PY Jn a-pu2-we: PY Jn [[e-ra-te-re-wa-o|e-ra-te-re-wa-pi]]: PY Jn [[e-re-i|e-re-e]]: PY Jo ka-ra-do-ro: PY Jn me-ta-pa: PY Jn pa-ki-ja-pi: PY Jn pe-to-no: PY Jn pi-*82: PY Jn qa-ra: KN V ro-u-so: PY Jn ti-mi-to-a-ke-e: PY Jn za-ma-e-wi-ja: PY Jn Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek Shelmerdine Cynthia W. 2008 A Companion to Linear B: Mycenaean Greek Texts and their World vol. I (ed. Yves Duhoux and Anna Morpurgo Davies) """"Mycenaean Society"""" *to do: check facsimile or photograph of PY Nn 831; how big is the [ ] gap? Small or could there be missing sign groups explaining the discrepancy of anthroponyms and occupations in parallel?"
𐀒𐀩𐀳,ko-re-te,"Shelmerdine 2008: something like a 'mayor'  titular nominative singular masculine cf. (*-te *-te-re) a-de-te-re a-ke-te-re a3-te-re ma-te-re pi-ri-je-te-re ra-pte-re tu-ka-te-re Chadwick & Ventirs 1973: nominative plural or dative singular  dative singular  adjective Shelmerdine 2008: something like a 'vice-mayor'  official subordinate to ko-re-te nominative singular po-ro-ko-re-te-re + connective enclitic qe  nominative plural ko-re-te in KN V: a-ke-re-mo-nogen. occupation po-ro-ko-re-te ko-re-te in PY Jn PY On: po-ro-ko-re-te ko-re-te in PY Nn*: a-mu-ta-woanthroponym a-ro-je-uanthroponym e-po-me-ne-uanthroponym e-re-e-u ka-ke-uoccupation po-me-neoccupation qo-u-ko-rooccupation po-ro-ko-re-te in KN V: a-ke-re-mo-no ko-re-te po-ro-ko-re-te in PY Jn PY On: ko-re-te AES: PY Jn AUR: PY Jo SA: PY Nn *154: PY On [[*258]]: KN V a-ke-re-wa: PY Jn PY Jo a-pa-ta-wa: KN C a-pu2-we a-pu2-ja: PY Jn PY Jo a-si-ja-ti-ja: PY On [[e-ra-te-re-wa-o]] [[e-ra-te-re-wa-o|e-ra-te-re-wa-pi]]: PY Jn PY Jo PY On? [[e-sa-re-wi-ja]]: PY On? [[i-te-re-wa]]: PY Aq ka-ra-do-ro: PY Jn PY Jo ku-ta-i-to: KN C me-ta-pa: PY Jn o-du-ru-wi-jo: KN C pa-ki-ja-pi pa-ki-ja-ni[: PY Jn PY Jo? pe-to-no: PY Jn pi-*82: PY Jn qa-ra: KN V ra-u-ra-ti-ja: PY On ri-jo-no: KN C ro-u-so: PY Jo? PY Jn? sa-ma-ra: PY On? si-ra-ro: KN C ti-mi-to-a-ke-e ti-mi-ti-ja te-mi-ti-ja: PY Aq PY Jn PY Jo PY On [[ti-nwa-so|ti-nwa-si-jo]]: PY Jo wa-to: KN C za-ma-e-wi-ja: PY Jn a-ke-re-wa: PY Jn a-pu2-we: PY Jn [[e-ra-te-re-wa-o|e-ra-te-re-wa-pi]]: PY Jn [[e-re-i|e-re-e]]: PY Jo ka-ra-do-ro: PY Jn me-ta-pa: PY Jn pa-ki-ja-pi: PY Jn pe-to-no: PY Jn pi-*82: PY Jn qa-ra: KN V ro-u-so: PY Jn ti-mi-to-a-ke-e: PY Jn za-ma-e-wi-ja: PY Jn Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek Shelmerdine Cynthia W. 2008 A Companion to Linear B: Mycenaean Greek Texts and their World vol. I (ed. Yves Duhoux and Anna Morpurgo Davies) """"Mycenaean Society"""" *to do: check facsimile or photograph of PY Nn 831; how big is the [ ] gap? Small or could there be missing sign groups explaining the discrepancy of anthroponyms and occupations in parallel?"
𐀒𐀩𐀺,ko-re-wo,anthroponym? TELA+TE: KN Ln Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀒𐀪𐀊𐀅𐀙,ko-ri-ja-da-na,coriander (seed) cf. κορίαννα Palaeolexicon: coriander Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀒𐀪𐀊𐀅𐀙,ko-ri-ja-da-na,coriander
𐀒𐀪𐀍,ko-ri-jo,anthroponym cf. σκολιός Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀒𐀪𐀯𐀊,ko-ri-si-ja,corinthian woman
𐀒𐀪𐀵,ko-ri-to,"Further Province toponym but not Κόρινθος on the Isthmus Ilievski 1996: anthroponym """"from ethnics with assibilated θ"""" cf. ko-ri-to Κόρινθος [[za-ku-si-ja]] and [[e-ri-ma-si-jo]]  anthroponym feminine ethnic  ethnic adjective Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek Ilievski Petar Hr. 1996 Attí e memorie del secondo congresso internazionale di micenologia vol. 1 Filologia “The Mycenaean Personal Names in -to with regard to the derivatives from verbal adjectives”"
𐀒𐀪𐁀𐀅𐀙,ko-ri-a2-da-na,'coriander (seed)' cf. κορίανδρον κορίαννα κολίανδρον nominative plural neuter sometimes abbreviated to just KO  variant spelling  variant spelling?  nominative singular of ko-ri-a2-da-na Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀒𐀫,ko-ro,"1. """"of the lands"""" cf. χῶρος (Iliad III 315+) 2. anthroponym cf. Χοῖρος Χῶλος Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek"
𐀒𐀫,ko-ro,"1. (PY Eq) 'of the lands'? cf. χῶρος (Iliad III.315+) 2. (KN De PY Cn) anthroponym cf. Χοῖρος Χῶλος Appears as """"pa-ro  ko-ro OVISf 24 X"""" on PY Cn 131 with a tablet header of """"pi-*82  [[we-re-ke]]"""". Appears as """"ko-ro  to-so-de  pe-mo GRA ["""" on PY Eq 146. PY Cn 131: [[pi-me-ta]] po-ko-roanthroponym [[wo-ki-to]] etc. GRA: PY Eq OVIS: KN De PY Cn da-*22-to: KN De pi-*82: PY Cn Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek"
𐀒𐀫𐀉𐀺,ko-ro-du-wo,"toponym """"Bennett suggests reading ko-ro-(jo)-(wo)-wo cf. ko-ro-jo-wo-wi-ja"""" Appears as """"ko-ro-(du)-wo  we-da-ne-wo SA 10"""" on PY Na 1041. SA: PY Na Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek"
𐀒𐀫𐀊𐀚,ko-ro-ja-ne,
𐀒𐀫𐀊𐀲,ko-ro-ja-ta,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀒𐀫𐀍𐀺𐀹𐀊,ko-ro-jo-wo-wi-ja,toponym cf. wo-wo Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀒𐀫𐀑𐀊,ko-ro-ki-ja,feminine ethnic adjective  genitive plural of ko-ro-ki-ja Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀒𐀫𐀓𐀨𐀂𐀍,ko-ro-ku-ra-i-jo,"Killen 2008: personnel holding land at ka-ra-do-ro  masculine ethnic adjective """"Attempts to relate this to Κόρκυρα=Κέρκυρα or Κροκύλεια are probably vain."""" Appears as """"a-ke-re-wa  ko-ro-ku-ra-i-jo VIR (8)0"""" on PY An 656. Appears as """"ka-ra-do-ro  ko-ro-ku-ra-i-jo VIR (10)"""" on PY An 661. Appears as """"za-e-to-ro  ko-ro-ku-ra-i-jo VIR 20"""" on PY An 661. Appears as """"[[wo-no-qe-wa]]  ko-ro-ku-ra-i-jo SA 30"""" on PY Na 396 with """"(e)-ko-si"""" on line .a above ko-ro-ku-ra-i-jo. Appears as """"to-ro-wa-so  ko-ro-ku-ra-i[ ] SA 10"""" on PY Na 405 with """"e-ko-si"""" on line .a above ko-ro-ku-ra-i[. SA: PY Na VIR: PY An a-ke-re-wa: PY An ka-ra-do-ro: PY An to-ro-wa-so: PY Na [[wo-no-qe-wa]]: PY Na za-e-to-ro: PY An Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek Killen John T. 2008 A Companion to Linear B: Mycenaean Greek Texts and their World vol. I (ed. Yves Duhoux and Anna Morpurgo Davies) """"Mycenaean Economy"""""
𐀒𐀫𐀓𐀨𐀂𐀍,ko-ro-ku-ra-i-jo,man from corfu (kerkyra)
